,uuid,level,kpi,value
5,346a5347-fd2a-4165-ab29-4ed4153d9123,intermediate,self_sufficiency,10.708149117027055
6,346a5347-fd2a-4165-ab29-4ed4153d9123,intermediate,netload,100.0
7,346a5347-fd2a-4165-ab29-4ed4153d9123,intermediate,costs,3079048334.717123
8,346a5347-fd2a-4165-ab29-4ed4153d9123,national,sustainability,16.86666793754969
9,346a5347-fd2a-4165-ab29-4ed4153d9123,national,self_sufficiency,22.11218838813239
10,346a5347-fd2a-4165-ab29-4ed4153d9123,national,netload,100.0
11,346a5347-fd2a-4165-ab29-4ed4153d9123,national,costs,46727591775.882965
0,09ab794c-e3f6-4a08-b288-7d90973a8475,local,sustainability,40.3
1,09ab794c-e3f6-4a08-b288-7d90973a8475,local,self_sufficiency,0.0
2,09ab794c-e3f6-4a08-b288-7d90973a8475,local,netload,235.3
3,09ab794c-e3f6-4a08-b288-7d90973a8475,local,costs,11303673.11559887
4,09ab794c-e3f6-4a08-b288-7d90973a8475,intermediate,sustainability,8.693040060211802
5,09ab794c-e3f6-4a08-b288-7d90973a8475,intermediate,self_sufficiency,10.708149117027055
6,09ab794c-e3f6-4a08-b288-7d90973a8475,intermediate,netload,100.0
7,09ab794c-e3f6-4a08-b288-7d90973a8475,intermediate,costs,3079048334.717123
8,09ab794c-e3f6-4a08-b288-7d90973a8475,national,sustainability,16.909253199172937
9,09ab794c-e3f6-4a08-b288-7d90973a8475,national,self_sufficiency,22.151677294324212
10,09ab794c-e3f6-4a08-b288-7d90973a8475,national,netload,100.0
11,09ab794c-e3f6-4a08-b288-7d90973a8475,national,costs,46608073494.26181
